tudosid	eloadasid
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
113	15
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	31
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	43
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
80	80
81	81
82	82
83	83
83	84
85	85
86	86
87	87
88	88
89	89
90	90
91	91
92	92
93	93
94	94
95	95
95	96
97	96
98	98
99	101
100	102
101	103
102	104
103	105
104	106
105	107
106	108
107	109
108	110
109	111
110	112
111	113
112	114
113	115
114	118
115	119
116	120
117	121
118	122
119	123
120	124
121	125
122	126
123	127
124	128
125	129
126	130
127	133
128	134
129	135
130	136
131	137
132	138
133	139
134	140
135	141
136	142
136	143
138	146
139	147
140	148
141	149
142	150
143	151
144	152
145	153
146	154
147	155
148	156
149	157
150	158
151	159
152	160
153	161
154	162
155	163
156	164
157	165
158	166
159	167
160	168
160	169
162	170
163	171
164	173
165	174
166	175
